2015-02-27T17:51:14+03:00>dbquery:code> 1045
2015-02-27T17:51:14+03:00>dbquery:code> 1045
2015-03-02T00:18:38+03:00>dbquery:code> 1044
2015-03-02T00:19:14+03:00>dbquery:code> 1044
2015-03-02T00:19:33+03:00>dbquery:code> 1044
2015-03-02T00:20:52+03:00>dbquery:code> 1044
2015-03-02T00:26:01+03:00>dbquery:code> 1044
2015-03-02T00:26:13+03:00>dbquery:code> 1044
2015-03-02T00:26:17+03:00>dbquery:code> 1044
2015-03-02T00:27:24+03:00>dbquery:code> 1044
2015-03-02T00:27:59+03:00>dbquery:code> 1044
2015-03-02T00:30:04+03:00>dbquery:select> can\'t get data
2015-03-02T00:31:13+03:00>dbquery:change> can't write into db
2015-03-02T01:09:21+03:00>dbquery:change> can't write into db
2015-03-02T01:09:21+03:00>dbquery:change> can't write into db
2015-03-02T01:10:29+03:00>dbquery:change> can't write into db
2015-03-02T01:10:29+03:00>dbquery:change> can't write into db
2015-03-03T09:53:04+03:00>dbquery:change> can't write into db
2015-03-03T09:56:30+03:00>dbquery:change> can't write into db
2015-03-03T09:57:13+03:00>dbquery:change> can't write into db
2015-03-03T10:00:26+03:00>dbquery:change> can't write into db
2015-03-03T10:00:54+03:00>dbquery:change> can't write into db
2015-03-03T10:03:36+03:00>dbquery:change> can't write into db
2015-03-03T10:09:10+03:00>dbquery:change> can't write into db
2015-03-03T10:22:50+03:00>dbquery:code> 1044
2015-03-03T10:25:34+03:00>dbquery:change> can't write into db
2015-03-03T10:27:23+03:00>dbquery:change> can't write into db
2015-03-03T10:28:53+03:00>dbquery:change> can't write into db
2015-03-03T10:29:47+03:00>dbquery:change> can't write into db
2015-03-03T10:31:13+03:00>dbquery:change> can't write into db
2015-03-03T10:37:27+03:00>dbquery:change> can't write into db
2015-03-03T10:38:56+03:00>dbquery:change> can't write into db
2015-03-03T10:39:26+03:00>dbquery:change> can't write into db
2015-03-03T10:41:20+03:00>dbquery:change> can't write into db
2015-03-03T10:41:33+03:00>dbquery:change> can't write into db
2015-03-03T10:42:12+03:00>dbquery:change> can't write into db
2015-03-03T10:46:15+03:00>dbquery:change> can't write into db
2015-03-03T10:52:14+03:00>dbquery:change> can't write into db
2015-03-03T10:54:09+03:00>dbquery:change> can't write into db
2015-03-03T10:58:33+03:00>dbquery:change> can't write into db
2015-03-03T10:59:00+03:00>dbquery:change> can't write into db
2015-03-03T10:59:45+03:00>dbquery:change> can't write into db
2015-03-03T11:00:36+03:00>dbquery:change> can't write into db
2015-03-03T11:03:39+03:00>dbquery:change> can't write into db
2015-03-03T11:04:00+03:00>dbquery:change> can't write into db
2015-03-03T11:06:08+03:00>dbquery:change> can't write into db
